Id,Label,origin,Air_Z,O2nonsen_Z,O2sen_Z
A2M,A2M,group1,-0.2614675394,1.104759459,-0.8432919201
AHSG,AHSG,group1,0.4288142976,-1.14289448,0.7140801821
ALB,ALB,group1,0.9548593953,0.08487151293,-1.039730908
APOA1,APOA1,group1,-0.8507594239,-0.2507536344,1.101513058
APOB,APOB,group1,0.3391905387,-1.125478282,0.7862877433
C3,C3,group1,-1.016549227,0.9825854316,0.03396379515
COL3A1,COL3A1,group1,-0.4288692806,-0.7140336441,1.142902925
CP,CP,group1,-1.149293954,0.4779900783,0.6713038754
F2,F2,group1,0.8016220742,0.3189469345,-1.120569009
GSN,GSN,group1,1.154686664,-0.57244116,-0.5822455038
HBB,HBB,group1,-0.1112803067,1.050985581,-0.9397052742
HRG,HRG,group1,-0.02178210238,1.010713113,-0.9889310105
ITIH2,ITIH2,group1,0.3149235917,-1.11955189,0.804628298
JUP,JUP,group1,-0.552611613,-0.6017404929,1.154352106
PLG,PLG,group1,-0.3512218379,1.128229634,-0.7770077956
SERPINA10,SERPINA10,group1,1.128926444,-0.7745675135,-0.3543589303
SERPINC1,SERPINC1,group1,-0.4869116831,1.150201539,-0.6632898558
SERPIND1,SERPIND1,group1,1.045256951,-0.9475736838,-0.09768326692
SPARC,SPARC,group1,-0.336018456,-0.7887136671,1.124732123
SRC,SRC,group1,-1.026402662,0.05508215227,0.9713205096
TF,TF,group1,1.097782223,-0.2388013775,-0.8589808455
ACTA1,ACTA1,imputed,,,
ACTR2,ACTR2,imputed,,,
AFP,AFP,imputed,,,
ALDOA,ALDOA,imputed,,,
APOA2,APOA2,imputed,,,
APOL1,APOL1,imputed,,,
APP,APP,imputed,,,
CDH2,CDH2,imputed,,,
COL1A2,COL1A2,imputed,,,
CPB2,CPB2,imputed,,,
EGF,EGF,imputed,,,
FBN1,FBN1,imputed,,,
FGA,FGA,imputed,,,
FGG,FGG,imputed,,,
FN1,FN1,imputed,,,
HP,HP,imputed,,,
HPX,HPX,imputed,,,
HSPG2,HSPG2,imputed,,,
ITGAV,ITGAV,imputed,,,
LYZ,LYZ,imputed,,,
MMP3,MMP3,imputed,,,
MMP9,MMP9,imputed,,,
ORM1,ORM1,imputed,,,
P4HB,P4HB,imputed,,,
PIK3CA,PIK3CA,imputed,,,
QSOX1,QSOX1,imputed,,,
RHOA,RHOA,imputed,,,
SDC2,SDC2,imputed,,,
SERPINA1,SERPINA1,imputed,,,
SERPINF2,SERPINF2,imputed,,,
SPTAN1,SPTAN1,imputed,,,
THBS1,THBS1,imputed,,,